Date,Campaign,Ad Group,Clicks,Impressions,Transactions,Sessions,Cost,Revenue
"Aug 31, 2022",PT(S) - 20190401 - Outerwear - Male,Parkas,10,110,0,11,13.05,0
"Aug 31, 2022",PT(S) - 20190308 - Branded Keywords,Branded (woman),0,1,0,0,0,0
"Aug 31, 2022",PT(S) - 20190401 - Outerwear - Female,Coat,1,49,0,2,5.12,0
"Aug 31, 2022",PT(S) - [New Structure] Campaign 1: Branded,Item category,0,0,0,2,0,0
"Aug 31, 2022",PT(S) - 20190401 - Outerwear - Female,Parkas,2,31,0,1,0.23,0
"Aug 31, 2022",PT(S) - 20220706 - Genderless Collection,Unisex,39,531,1,48,36.31,137.5
"Aug 31, 2022",PT(S) - 202104 - Women Jeans [paused],Women Jeans,0,0,0,2,0,0
"Aug 31, 2022",PT(S) - 202201 - Maternity,PT(S) - 202201 - Maternity - dynamic ad group,2,5,0,0,3.18,0
"Aug 31, 2022",PT(S) - 202111 - Competitor Brands,Competitors,109,3695,0,94,195,0
"Aug 31, 2022",PT(S) - Test Dynamic Search Ads - Recommended Categories,dynamic search,162,2413,0,34,287.29,0
"Aug 31, 2022",PT(S) - 20190320 - Tops & Bottoms - Female,T-shirt,26,193,0,30,26.38,0
"Aug 31, 2022",PT(S) - 202104 - Kids,Kids T shirt (girl),7,127,0,9,2.96,0
"Aug 31, 2022",PT(S) - 202104 - Women Shoes,Women Shoes,10,317,0,0,17.68,0
"Aug 31, 2022",PT(S) - 20200215 - SUW,Sport activities,14,230,0,17,10.35,0
"Aug 31, 2022",PT(S) - Uniqlo Graphic Tee (UT),Mickey Stands (1/8),11,97,0,12,10.49,0
"Aug 31, 2022",PT(S) - 20200215 - SUW,Sportswear,41,668,0,40,28.92,0
"Aug 31, 2022",PT(S) - 202104 - Kids,Kids Shorts & Pants,0,36,0,0,0,0
"Aug 31, 2022",PT(S) - 20190401 - Outerwear - Female,Jacket,22,189,0,25,6.52,0
"Aug 31, 2022",PT(S) - [New Structure] Campaign 2: General,Main - Kids & Babies,0,0,0,1,0,0
"Aug 31, 2022",PT(S) - 20210102 - Airism - Male,Airism Bedding,7,13,0,0,4.99,0
"Aug 31, 2022",PT(S) - 20210102 - Airism - Male,Airism General,16,111,0,21,7.659212,0
"Aug 31, 2022",PT(S) - 20190308 - Branded Keywords,Branded (General),490,1888,11,583,183.95,2084.3
"Aug 31, 2022",PT(S) - 20220704 - Sustainability JOIN,The Power of Clothing,70,1107,0,21,165.74,0
"Aug 31, 2022",PT(S) - 20220408 - Ramadan/Raya,Men,0,0,0,1,0,0
"Aug 31, 2022",PT(S) - 202203 - Kids & Baby Collection,Baby,5,46,0,7,4.83,0
"Aug 31, 2022",PT(S) - Uniqlo Graphic Tee (UT),UT Brands,0,19,0,0,0,0
"Aug 31, 2022",PT(S) - Uniqlo Graphic Tee (UT),MFA (Magic For All Timeless Favorites),16,77,0,21,16.21,0
"Aug 31, 2022",PT(S) - Uniqlo Graphic Tee (UT),Peace For All,1,14,0,2,0.38,0
"Aug 31, 2022",PT(S) - 202201 - Rayon,Shirt,1,14,0,1,1.21,0
"Aug 31, 2022",PT(S) - 20220706 - Women Jeans,Women,0,0,0,4,0,0
"Aug 31, 2022",PT(S) - 20190320 - Tops & Bottoms - Female,Hoodie,11,139,0,12,1.31,0
"Aug 31, 2022",PT(S) - 20190809 - Extra Size - Female,Plus Sizes,0,0,0,14,0,0
"Aug 31, 2022",PT(S) - 202201 - Maternity,Innerwear,4,34,0,4,2.76,0
"Aug 31, 2022",PT(S) - 202104 - Kids,Kids Dress,1,29,0,1,0.25,0
"Aug 31, 2022",PT(S) - Uniqlo Graphic Tee (UT),Sanrio (25/7),3,26,0,7,0.77,0
"Aug 31, 2022",PT(S) - 20190308 - Branded Keywords,Branded (jacket),2,4,0,3,0.11,0
"Aug 31, 2022",PT(S) - 202201 - Maternity,Dress,3,41,0,3,3.74,0
"Aug 31, 2022",PT(S) - 202104 - Kids,Kids T shirt (boy),3,55,0,3,1.99,0
"Aug 31, 2022",PT(S) - Uniqlo Graphic Tee (UT),New York Weekend Trip (18/7),1,4,0,1,0.01,0
"Aug 31, 2022",PT(S) - 20190401 - Outerwear - Female,Cardigan,5,54,0,5,2.8,0
"Aug 31, 2022",PT(S) - [New Structure] Campaign 1: Branded,Main,0,0,0,3,0,0
"Aug 31, 2022",PT(S) - 20190320 - Tops & Bottoms - Female,Sweat Pants,4,30,0,4,2.03,0
"Aug 31, 2022",PT(S) - 20210803 - Heattech,Heat Tech,124,1396,0,133,69.49,0
"Aug 31, 2022",PT(S) - 202104 - Women Work wear,Work In Comfort,0,0,1,2,0,144.7
"Aug 31, 2022",PT(S) - 202104 - Baby,Baby Girl T-Shirt,5,55,0,4,2.52,0
"Aug 31, 2022",PT(S) - 20220404 - Color Campaign,Men,0,0,0,1,0,0
